rule,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
all,0.008,0.0222,0.0131,0.015,0.0163,0.0277,0.019,0.0191,0.0256,0.0418,0.0232
nearest2,0.0109,0.0195,0.0141,0.0239,0.0219,0.0177,0.0148,0.0262,0.0193,0.0245,0.0234
nearest1,0.0251,0.0302,0.0222,0.0238,0.0319,0.0265,0.0337,0.0276,0.029,0.04,0.0464
random1,0.0289,0.0238,0.0536,0.0261,0.0297,0.0243,0.0259,0.0529,0.0289,0.0289,0.0303
