rule,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
all,0.005,0.005,0.005,0.004,0.005,0.006,0.005,0.005,0.005,0.009,0.008
nearest2,0.008,0.013,0.012,0.012,0.012,0.018,0.015,0.018,0.015,0.023,0.023
nearest1,0.034,0.036,0.032,0.03,0.029,0.024,0.035,0.037,0.034,0.033,0.031
random1,0.036,0.039,0.031,0.037,0.034,0.038,0.038,0.032,0.033,0.036,0.034
