rule,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
all,0.18374,0.26076,0.3138,0.34353,0.38564,0.41833,0.43059,0.46356,0.47209,0.5137,0.52061
nearest2,0.22337,0.36101,0.39872,0.43546,0.4704,0.54334,0.51833,0.57295,0.53433,0.61921,0.60673
nearest1,0.6298,0.67269,0.65167,0.64712,0.64578,0.59202,0.70448,0.7422,0.70097,0.69218,0.68145
random1,0.67124,0.7204,0.64318,0.71313,0.69864,0.72758,0.72942,0.68249,0.70116,0.72617,0.71099
