rule,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
all,0.36749,0.45903,0.50759,0.53705,0.54628,0.55666,0.56368,0.57212,0.56917,0.56489,0.56871
nearest2,0.36923,0.46953,0.50993,0.53592,0.5508,0.54919,0.56415,0.5684,0.57116,0.56841,0.56595
nearest1,0.4196,0.46037,0.51085,0.52674,0.54657,0.55904,0.51895,0.5269,0.52195,0.53936,0.5454
random1,0.46748,0.48331,0.50385,0.49126,0.51977,0.49515,0.49135,0.52998,0.52232,0.51735,0.51948
