rule,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
all,0.0,0.0025,0.0048,0.006,0.009,0.0112,0.0119,0.0142,0.015,0.0185,0.0189
nearest2,0.0031,0.0101,0.0115,0.0134,0.0156,0.0215,0.0189,0.0231,0.0199,0.0268,0.0259
nearest1,0.0336,0.0354,0.0317,0.0307,0.0298,0.025,0.0356,0.0383,0.0352,0.0338,0.0327
random1,0.035,0.0383,0.0313,0.0374,0.0351,0.0384,0.0387,0.0334,0.0352,0.0374,0.0361
